id,title,cuisine,difficulty,total_time,variant_type,protein_type,base_recipe,issues
3ef18112-6908-474b-b196-c0865ef84ca9,Almond Milk Chia Seeds Pudding With Fresh Fruits Recipe,indian,easy,10,standard,vegetarian,Almond Milk Chia Seeds Pudding With Fresh Fruits Recipe,veg_tags_with_meat_words|slow_keyword_but_short_total_time
c5d562ed-095d-4d95-a9b0-f22397eb08a5,Biryani Masala Powder Recipe - Biryani Masala Powder Recipe,indian,easy,10,standard,vegetarian,Biryani Masala Powder Recipe - Biryani Masala Powder Recipe,veg_tags_with_meat_words
ddfad120-3f2e-4675-b864-45c183be7b15,Classic Indian Sliced Salad Recipe,indian,medium,10,standard,vegetarian,Classic Indian Sliced Salad Recipe,veg_tags_with_meat_words
2c66fa21-47bd-4675-969c-157cbfb53fed,Homemade Dhansak Masala Powder Recipe,indian,easy,10,standard,vegetarian,Homemade Dhansak Masala Powder Recipe,veg_tags_with_meat_words
b15a5b30-d66b-4fc8-aa9a-a4deed0b1b0c,Mango Tomato Bean Salsa Recipe,indian,easy,10,standard,vegetarian,Mango Tomato Bean Salsa Recipe,veg_tags_with_meat_words
41df22f4-dc0b-415d-8ad0-c7fb1503c19c,Mexican Green Sauce Recipe,indian,easy,10,standard,vegetarian,Mexican Green Sauce Recipe,veg_tags_with_meat_words
35b585ab-64ad-4418-a957-8283d44c7a1d,Nutty Chocolate Banana Smoothie Recipe,indian,easy,10,standard,vegetarian,Nutty Chocolate Banana Smoothie Recipe,veg_tags_with_meat_words
abc21e50-ccd6-425d-b922-c95329669a7e,Onion Raita Recipe,indian,easy,10,standard,vegetarian,Onion Raita Recipe,veg_tags_with_meat_words
43aee697-ea07-4267-a4fb-b48baf36b48b,Onion Raita Recipe - Onion Raita Recipe,indian,easy,10,standard,vegetarian,Onion Raita Recipe - Onion Raita Recipe,veg_tags_with_meat_words
4d5dd4c2-17c8-40d5-a793-be8997110a92,Papaya Basil Smoothie With Chia Seeds Recipe,indian,easy,10,standard,vegetarian,Papaya Basil Smoothie With Chia Seeds Recipe,veg_tags_with_meat_words
399cf13a-3884-454e-a981-1503e26aaa76,Pudina Pyaz Kachumber Salad Recipe - Mint & Onion Salad,indian,easy,10,standard,vegetarian,Pudina Pyaz Kachumber Salad Recipe - Mint & Onion Salad,veg_tags_with_meat_words
24a1ae0b-21b9-428e-9314-5ef6f42b4f82,Tomato Mozzarella Bites Recipe,indian,easy,10,standard,vegetarian,Tomato Mozzarella Bites Recipe,veg_tags_with_meat_words
11b1f150-c585-4860-bf7d-9abc32b4c97a,Vegan Hot Chocolate Recipe,indian,easy,10,standard,vegetarian,Vegan Hot Chocolate Recipe,veg_tags_with_meat_words
bc08f7f9-5a5c-49f5-8b68-a7b181a7b845,Zucchini Salad with Barbecue Sauce Dressing Recipe,indian,easy,10,standard,vegetarian,Zucchini Salad with Barbecue Sauce Dressing Recipe,veg_tags_with_meat_words
38b11baa-6653-4c11-994d-d22cd45f17e7,15 Minutes Mexican Fried Rice Recipe,indian,easy,15,standard,vegetarian,15 Minutes Mexican Fried Rice Recipe,veg_tags_with_meat_words
7dea0af2-765f-40bf-838a-049dbf0eae1e,Apple Cucumber Salad Recipe,indian,easy,15,standard,vegetarian,Apple Cucumber Salad Recipe,veg_tags_with_meat_words
9190496e-f702-4e01-a130-880094b6a46f,Banana Yogurt and Walnut Smoothie Recipe,indian,easy,15,standard,vegetarian,Banana Yogurt and Walnut Smoothie Recipe,veg_tags_with_meat_words
88166339-255d-418c-a85c-b5a25cf90387,Blueberry Chia Banana Smoothie Recipe,indian,easy,15,standard,vegetarian,Blueberry Chia Banana Smoothie Recipe,veg_tags_with_meat_words
5973fc0e-190a-4a4e-9a40-689a9464de76,Broccoli Oats Smoothie Bowl Recipe,indian,easy,15,standard,vegetarian,Broccoli Oats Smoothie Bowl Recipe,veg_tags_with_meat_words
81703753-8014-412f-bcf2-bc5621ae75f2,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",indian,easy,15,standard,vegetarian,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",veg_tags_with_meat_words
b6674bdf-d677-4eae-adbd-7abf08fe69f2,Chilled Sweet & Sour Cucumber Noodle Salad Recipe,indian,easy,15,standard,vegetarian,Chilled Sweet & Sour Cucumber Noodle Salad Recipe,veg_tags_with_meat_words
c4d840ed-14b6-4265-bd31-2bbe598d2942,Cold Coffee Recipe,indian,easy,15,standard,vegetarian,Cold Coffee Recipe,veg_tags_with_meat_words
5f0e66f0-d36d-499a-a00d-52d154c3b287,Crunchy Asian Vegetable Salad Recipe With Honey Garlic Dressing,indian,medium,15,standard,vegetarian,Crunchy Asian Vegetable Salad Recipe With Honey Garlic Dressing,veg_tags_with_meat_words
8063529b-df9d-4075-9834-c3b6bed304d9,Delicious Avocado Salad Recipe with Vegetables,indian,medium,15,standard,vegetarian,Delicious Avocado Salad Recipe with Vegetables,veg_tags_with_meat_words
cdc7724b-afe4-4977-bbfa-af9d900dc57e,Healthy Oats Waffles Recipe,indian,easy,15,standard,vegetarian,Healthy Oats Waffles Recipe,veg_tags_with_meat_words
ed9dc3a5-e0b8-462b-bd83-c88e030172ee,Herbed Butter Rice Recipe With Rosemary & Thyme,indian,easy,15,standard,vegetarian,Herbed Butter Rice Recipe With Rosemary & Thyme,veg_tags_with_meat_words
f8c9efaa-3416-4adf-aba2-9c69730116e5,Homemade Chocolate Sauce Recipe,indian,easy,15,standard,vegetarian,Homemade Chocolate Sauce Recipe,veg_tags_with_meat_words
ec652a79-be2c-4921-8c12-f2b19b4313c7,Instant Baked Aloo Tikki Recipe,indian,easy,15,standard,vegetarian,Instant Baked Aloo Tikki Recipe,veg_tags_with_meat_words
31fbc815-6cb6-44f8-9a15-cfc73624389d,"Kachumber Salad Recipe With Cucumber, Onion & Tomatoes",indian,easy,15,standard,vegetarian,"Kachumber Salad Recipe With Cucumber, Onion & Tomatoes",veg_tags_with_meat_words
948e1b63-9fb9-4d54-bd71-17514a22b171,"Pineapple, Onions and Cabbage Slaw with Honey Mustard Recipe",indian,easy,15,standard,vegetarian,"Pineapple, Onions and Cabbage Slaw with Honey Mustard Recipe",veg_tags_with_meat_words
01e1e926-bcf3-44b5-82fa-96102a958d48,Pudina Dahi Chutney Recipe- Mint Yoghurt Dip,indian,easy,15,standard,vegetarian,Pudina Dahi Chutney Recipe- Mint Yoghurt Dip,veg_tags_with_meat_words
686582b5-c3ef-465a-a4f6-112daf213f9e,Soba Noodle Salad Recipe,indian,medium,15,standard,vegetarian,Soba Noodle Salad Recipe,veg_tags_with_meat_words
5d68734f-8d11-4a5d-b6a4-9bc73b3ec1df,Spinach Watermelon Salad Recipe With Walnuts,indian,easy,15,standard,vegetarian,Spinach Watermelon Salad Recipe With Walnuts,veg_tags_with_meat_words
104a44dc-d36b-49e8-89b7-db5e9402a456,Sweet Corn And Raw Mango Salad Recipe,indian,easy,15,standard,vegetarian,Sweet Corn And Raw Mango Salad Recipe,veg_tags_with_meat_words
8b4f7c26-5d13-4ba7-ae2f-cca76396e566,Watermelon Margarita Granita Recipe,indian,easy,15,standard,vegetarian,Watermelon Margarita Granita Recipe,veg_tags_with_meat_words
15022e6f-bf5c-4943-935d-36223961197d,Broccoli With Lemon Butter Sauce Recipe,indian,easy,17,standard,vegetarian,Broccoli With Lemon Butter Sauce Recipe,veg_tags_with_meat_words
a6112d4c-36b8-4226-978c-120b65b4505a,Broccoli Salad Recipe with Roasted Onion & Peppers,indian,easy,20,standard,vegetarian,Broccoli Salad Recipe with Roasted Onion & Peppers,veg_tags_with_meat_words
