id,title,cuisine,difficulty,total_time,variant_type,protein_type,base_recipe,tags,issues
ad0c0942-f53e-46d6-a42b-0949ad4fb653,Kakka Orotti Recipe - Steamed Mini Rice Balls in Chicken Gravy,indian,hard,6,standard,non_veg,Kakka Orotti Recipe - Steamed Mini Rice Balls in Chicken Gravy,indian|rice|main|spicy|savory|non-veg|dairy_free|nut_free|halal,nonveg_tags_without_meat_words
539803ea-e566-4000-8858-943d9a6f6fff,Kerala Thenga Chammanthi Recipe- Coconut Onion Chutney,indian,easy,6,standard,vegetarian,Kerala Thenga Chammanthi Recipe- Coconut Onion Chutney,indian|side|south_indian|spicy|sour|savory|non-veg|gluten_free|dairy_free|nut_free,nonveg_tags_without_meat_words
60f9df78-1863-4e18-98ff-9b5fb0984aaa,Guava And Papaya Mimosa Drink Recipe,indian,easy,10,standard,vegetarian,Guava And Papaya Mimosa Drink Recipe,indian|main|south_indian|sour|savory|non-veg|gluten_free|dairy_free|nut_free,nonveg_tags_without_meat_words
4f32be27-1799-468f-9694-e8f58730a652,Sundried Tomato Pesto Recipe,indian,easy,10,standard,vegetarian,Sundried Tomato Pesto Recipe,indian|main|spicy|savory|non-veg|gluten_free|halal,nonveg_tags_without_meat_words
5599c0be-58d3-4a45-ae07-ab13c95b12e2,Apple Tea Latte Recipe,indian,easy,12,standard,vegetarian,Apple Tea Latte Recipe,indian|main|savory|non-veg|gluten_free,nonveg_tags_without_meat_words
9c04374f-02e1-4f57-9df0-a549e2c87dc8,Khamang Kakdi Recipe - Khamang Kakdi Recipe,indian,medium,12,standard,vegetarian,Khamang Kakdi Recipe - Khamang Kakdi Recipe,indian|main|spicy|sour|savory|non-veg|gluten_free,nonveg_tags_without_meat_words
206ef089-9d76-4b67-8e5a-e7bb49e6f1d1,Khamang Kakdi Recipe - Maharashtrian Cucumber Salad,indian,easy,12,standard,vegetarian,Khamang Kakdi Recipe - Maharashtrian Cucumber Salad,indian|main|spicy|sour|savory|non-veg|gluten_free,nonveg_tags_without_meat_words
fea0937c-1fda-4481-a0db-55d8520c1a27,Akoori with Green Peas Recipe (Parsi Style Scrambled Eggs with Green Peas),indian,medium,15,standard,non_veg,Akoori with Green Peas Recipe (Parsi Scrambled Eggs with Green Peas),indian|main|spicy|sour|savory|non-veg|gluten_free|dairy_free|nut_free|halal,nonveg_tags_without_meat_words
7a07efab-ff15-41f1-9600-490c0d1242e4,Basil & Cherry Tomato Omelette Recipe,indian,easy,15,standard,vegetarian,Basil & Cherry Tomato Omelette Recipe,indian|main|spicy|savory|non-veg|gluten_free|dairy_free|nut_free|halal,nonveg_tags_without_meat_words
3b7a34db-bbe3-4480-8973-482a8852b96e,Bullseye On Toast Recipe,indian,easy,15,standard,vegetarian,Bullseye On Toast Recipe,indian|main|spicy|savory|non-veg|nut_free|halal,nonveg_tags_without_meat_words
