id,title,cuisine,difficulty,total_time,variant_type,protein_type,base_recipe,tags,issues
0b0cfa16-88ed-46a3-ab91-1e63e5885fb2,Instant Granola In A Microwave Recipe,indian,medium,6,standard,vegetarian,Instant Granola In A Microwave Recipe,indian|main|sweet|savory|vegan|gluten_free|dairy_free|halal,vegan_tags_with_dairy_or_egg_words
77076f78-a0bb-4214-944a-84b84bc96126,Chaat Masala Recipe,indian,easy,10,standard,vegetarian,Chaat Masala Recipe,indian|curry|main|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
ddfad120-3f2e-4675-b864-45c183be7b15,Classic Indian Sliced Salad Recipe,indian,medium,10,standard,vegetarian,Classic Indian Sliced Salad Recipe,indian|main|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,veg_or_vegan_tags_with_meat_words|vegan_tags_with_dairy_or_egg_words
ccc2c58c-9ab5-41cb-8d96-ebae86e7cb5b,Desiccated Coconut Coriander Chutney Recipe,indian,easy,10,standard,vegetarian,Desiccated Coconut Coriander Chutney Recipe,indian|side|south_indian|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
4458acad-b4cc-4724-9bf9-ab2c04a3aa5a,Fizzy Pomegranate Mint Mocktail Recipe,indian,easy,10,standard,vegetarian,Fizzy Pomegranate Mint Mocktail Recipe,indian|main|sweet|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
2c66fa21-47bd-4675-969c-157cbfb53fed,Homemade Dhansak Masala Powder Recipe,indian,easy,10,standard,vegetarian,Homemade Dhansak Masala Powder Recipe,indian|curry|main|spicy|savory|vegan|dairy_free|nut_free|halal,veg_or_vegan_tags_with_meat_words|vegan_tags_with_dairy_or_egg_words
38cd3d31-4369-42e4-a204-6c1b51672be8,Lacha Onion Recipe - Masala Pickled Onions,indian,easy,10,standard,vegetarian,Lacha Onion Recipe - Masala Pickled Onions,indian|curry|north_indian|main|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
ae9548a5-1345-4c0d-af02-4bac8bb338b2,Lemon Pudina Curry Leaf Shikanji Recipe,indian,easy,10,standard,vegetarian,Lemon Pudina Curry Leaf Shikanji Recipe,indian|curry|main|sweet|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
399cf13a-3884-454e-a981-1503e26aaa76,Pudina Pyaz Kachumber Salad Recipe - Mint & Onion Salad,indian,easy,10,standard,vegetarian,Pudina Pyaz Kachumber Salad Recipe - Mint & Onion Salad,indian|main|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,veg_or_vegan_tags_with_meat_words|vegan_tags_with_dairy_or_egg_words
39a157e3-c355-4805-b052-3633e05eab77,Sattu's Salted Sorbet Recipe,indian,easy,10,standard,vegetarian,Sattu's Salted Sorbet Recipe,indian|main|north_indian|spicy|sour|savory|vegan|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
4edcd097-b10b-4fd8-8c39-8d6811fa4dc9,"South Indian Style Green Moong Sprouts, Raw Mango Salad Recipe",indian,medium,10,standard,vegetarian,"South Indian Green Moong Sprouts, Raw Mango Salad Recipe",indian|main|south_indian|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
ebc17b8f-b027-4e44-b99c-495a312f84b5,Sparkling Strawberry Mocktail Recipe,indian,easy,10,standard,vegetarian,Sparkling Strawberry Mocktail Recipe,indian|main|sweet|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
6fd99d57-b3a5-4509-ba04-e9cc6e1e9ff2,Vegan Cashew Mayonnaise Recipe,indian,easy,10,standard,vegetarian,Vegan Cashew Mayonnaise Recipe,indian|main|sweet|sour|savory|vegan|gluten_free|dairy_free|halal,slow_keyword_but_short_total_time|vegan_tags_with_dairy_or_egg_words
bc08f7f9-5a5c-49f5-8b68-a7b181a7b845,Zucchini Salad with Barbecue Sauce Dressing Recipe,indian,easy,10,standard,vegetarian,Zucchini Salad with Barbecue Sauce Dressing Recipe,indian|main|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,veg_or_vegan_tags_with_meat_words|vegan_tags_with_dairy_or_egg_words
38b11baa-6653-4c11-994d-d22cd45f17e7,15 Minutes Mexican Fried Rice Recipe,indian,easy,15,standard,vegetarian,15 Minutes Mexican Fried Rice Recipe,indian|rice|main|spicy|savory|vegan|gluten_free|dairy_free|nut_free|halal,veg_or_vegan_tags_with_meat_words|vegan_tags_with_dairy_or_egg_words
2ec64343-53dd-4d3d-a5a8-3607fb6aa079,Achari Masala Powder Recipe,indian,easy,15,standard,vegetarian,Achari Masala Powder Recipe,indian|curry|north_indian|main|spicy|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
7dea0af2-765f-40bf-838a-049dbf0eae1e,Apple Cucumber Salad Recipe,indian,easy,15,standard,vegetarian,Apple Cucumber Salad Recipe,indian|main|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,veg_or_vegan_tags_with_meat_words|vegan_tags_with_dairy_or_egg_words
843d18d7-79ff-4c11-85dc-a7736791880b,Apple Cucumber Salad Recipe - Apple Cucumber Salad Recipe,indian,easy,15,standard,vegetarian,Apple Cucumber Salad Recipe - Apple Cucumber Salad Recipe,indian|main|spicy|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
0a2994c7-1269-4e06-9592-6a1afe1d0e31,Beetroot Juice Recipe With Cucumber & Pineapple,indian,easy,15,standard,vegetarian,Beetroot Juice Recipe With Cucumber & Pineapple,indian|main|sour|savory|vegan|gluten_free|dairy_free|nut_free|halal,vegan_tags_with_dairy_or_egg_words
88166339-255d-418c-a85c-b5a25cf90387,Blueberry Chia Banana Smoothie Recipe,indian,easy,15,standard,vegetarian,Blueberry Chia Banana Smoothie Recipe,indian|main|savory|vegan|gluten_free|dairy_free|halal,veg_or_vegan_tags_with_meat_words|vegan_tags_with_dairy_or_egg_words
